Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-04-04,453.0,467.0,440.25,445.55,445.75,7342816.0,33161.98
2016-04-05,441.05,459.8,441.0,445.0,445.6,978410.0,4394.4
2016-04-06,446.0,457.0,440.2,452.85,451.1,638351.0,2847.98
2016-04-07,451.05,458.8,443.35,443.7,445.4,605201.0,2714.26
2016-04-08,446.55,451.0,432.0,448.0,449.65,840724.0,3729.18
2016-04-11,447.5,451.5,443.0,446.5,448.05,112561.0,503.5
2016-04-12,447.0,473.95,444.4,465.0,466.3,361824.0,1660.36
2016-04-13,468.7,522.0,466.5,507.7,506.05,1694475.0,8528.17
2016-04-18,507.2,510.8,486.25,491.0,492.6,302216.0,1498.96
2016-04-20,497.95,507.25,487.0,491.2,494.65,329318.0,1632.85
2016-04-21,501.0,501.0,487.0,495.0,495.85,316023.0,1555.47
2016-04-22,492.1,505.9,490.05,491.25,493.8,82891.0,412.74
2016-04-25,494.2,499.0,493.0,496.95,496.0,404792.0,2009.18
2016-04-26,495.9,524.6,495.75,506.05,507.0,763964.0,3884.05
2016-04-27,508.2,519.4,503.1,519.35,515.25,619461.0,3183.91
2016-04-28,516.0,527.3,505.0,508.8,508.25,576548.0,3000.57
2016-04-29,511.0,518.45,503.35,510.25,512.1,624577.0,3203.16
2016-05-02,513.85,524.0,505.05,521.95,519.35,670703.0,3434.78
2016-05-03,523.95,537.0,512.3,520.5,520.35,738842.0,3853.74
2016-05-04,521.0,528.0,510.1,513.0,513.1,651807.0,3365.35
2016-05-05,514.95,517.75,506.0,508.0,510.3,620040.0,3178.01
2016-05-06,510.3,519.9,502.2,509.2,512.4,675868.0,3433.78
2016-05-09,515.8,536.9,486.8,511.95,509.9,649255.0,3311.4
2016-05-10,514.75,515.8,500.0,504.0,508.05,626862.0,3189.19
2016-05-11,502.0,507.0,500.0,500.15,502.7,616651.0,3106.78
2016-05-12,506.0,506.0,491.1,492.5,498.9,606379.0,3042.2
2016-05-13,498.0,503.4,481.1,502.0,498.4,716032.0,3547.22
2016-05-16,505.3,511.95,495.15,510.8,507.8,711921.0,3549.4
2016-05-17,506.0,512.0,502.0,510.9,507.9,662858.0,3363.69
2016-05-18,508.0,509.5,502.0,502.0,507.05,688295.0,3483.96
2016-05-19,507.05,508.0,493.0,496.8,500.85,697565.0,3513.68
2016-05-20,492.05,503.0,480.2,500.0,491.25,754211.0,3751.54
2016-05-23,510.0,513.8,496.1,510.8,509.5,688500.0,3463.96
2016-05-24,505.95,522.4,504.65,516.0,514.45,688695.0,3540.52
2016-05-25,516.0,526.0,512.0,521.0,519.65,787389.0,4077.99
2016-05-26,520.25,524.0,516.25,518.0,521.45,783864.0,4086.48
2016-05-27,522.1,525.0,515.0,516.0,520.15,786733.0,4106.9
2016-05-30,506.0,624.15,506.0,537.0,537.2,1066575.0,5783.81
2016-05-31,537.85,548.0,516.3,520.0,519.45,789356.0,4155.22
2016-06-01,521.15,521.2,515.0,517.25,518.0,641521.0,3328.32
2016-06-02,518.45,540.0,516.8,530.75,533.25,697763.0,3629.65
2016-06-03,534.0,547.7,530.5,531.15,535.2,670943.0,3596.85
2016-06-06,540.0,547.0,531.55,533.5,539.45,732563.0,3930.24
2016-06-07,539.0,545.0,535.0,536.0,537.2,604085.0,3265.71
2016-06-08,538.0,554.0,533.0,540.0,537.2,629828.0,3408.34
2016-06-09,538.0,541.8,531.0,539.0,537.65,719424.0,3866.73
2016-06-10,538.0,575.5,536.8,563.8,556.8,566377.0,3107.21
2016-06-13,558.5,591.0,556.55,579.9,579.1,772695.0,4394.85
2016-06-14,575.0,606.3,575.0,592.0,595.6,688133.0,4027.06
2016-06-15,597.95,609.95,580.0,599.75,591.05,734640.0,4378.96
2016-06-16,592.0,593.5,567.0,574.0,577.25,686857.0,3992.31
2016-06-17,579.95,692.7,574.05,688.0,682.15,1276131.0,8028.15
2016-06-20,664.0,710.0,646.0,694.55,698.1,1199947.0,8158.72
2016-06-21,695.0,709.0,685.05,688.0,692.0,794580.0,5517.1
2016-06-22,692.0,704.5,681.8,684.1,687.45,753666.0,5210.34
2016-06-23,688.0,694.85,676.15,676.5,680.55,699446.0,4807.98
2016-06-24,666.0,691.8,586.55,691.8,680.5,754171.0,4909.7
2016-06-27,680.0,733.0,671.15,720.0,712.15,777419.0,5389.1
2016-06-28,720.0,737.0,715.0,718.0,721.2,743040.0,5367.72
2016-06-29,724.9,735.7,720.0,724.15,724.3,671927.0,4884.39
2016-06-30,727.75,733.0,666.0,711.0,702.9,862350.0,6175.72
2016-07-01,709.0,720.8,663.1,685.95,672.4,848133.0,5926.3
2016-07-04,682.0,706.0,668.0,693.05,696.45,656917.0,4479.78
2016-07-05,699.9,708.0,690.3,698.0,699.3,622271.0,4359.83
2016-07-07,700.0,712.9,667.5,669.0,672.45,705956.0,4877.18
2016-07-08,674.95,684.7,668.0,678.0,677.05,631448.0,4254.63
2016-07-11,675.0,696.0,671.0,673.5,680.8,650027.0,4390.05
2016-07-12,678.0,693.5,668.6,678.2,679.7,710521.0,4852.9
2016-07-13,685.0,689.9,676.0,683.9,682.1,627496.0,4290.95
2016-07-14,680.5,702.0,675.5,685.0,687.25,703386.0,4809.63
2016-07-15,677.05,692.25,671.0,671.05,673.75,586413.0,3981.25
2016-07-18,679.0,682.0,670.0,672.8,673.2,584361.0,3966.33
2016-07-19,672.85,677.8,665.25,672.0,673.15,567206.0,3797.85
2016-07-20,673.0,681.7,668.8,671.05,674.1,656234.0,4433.03
2016-07-21,677.0,681.3,666.6,673.0,672.35,623311.0,4213.01
2016-07-22,673.0,677.85,664.45,668.5,671.8,593294.0,4004.76
2016-07-25,675.65,684.85,663.0,684.0,681.5,600430.0,4057.36
2016-07-26,681.9,701.9,679.0,681.0,686.75,607082.0,4187.68
2016-07-27,686.0,691.0,666.65,670.5,671.75,579803.0,3945.97
2016-07-28,672.15,698.8,660.3,695.0,692.6,636204.0,4326.48
2016-07-29,695.9,722.0,682.2,714.0,711.25,713087.0,4952.36
2016-08-01,710.05,719.0,693.0,698.0,705.85,617828.0,4377.39
2016-08-02,691.1,741.0,691.1,727.9,727.4,707116.0,5115.35
2016-08-03,728.0,737.4,705.15,734.0,725.85,626667.0,4531.79
2016-08-04,730.0,768.8,730.0,758.1,759.6,438345.0,3289.4
2016-08-05,762.55,844.0,752.1,820.0,823.35,656589.0,5196.86
2016-08-08,828.0,831.5,796.65,809.95,810.15,558120.0,4531.98
2016-08-09,811.8,812.15,785.3,798.0,798.3,508116.0,4074.15
2016-08-10,805.0,814.5,795.5,802.85,803.0,534668.0,4321.57
2016-08-11,782.0,815.0,782.0,803.5,805.0,426194.0,3436.06
2016-08-12,803.25,833.45,797.15,812.0,821.0,544449.0,4471.67
2016-08-16,830.0,844.9,800.0,803.0,805.7,622801.0,5117.58
2016-08-17,807.0,823.95,802.7,810.6,813.25,557478.0,4548.93
2016-08-18,815.7,823.0,783.15,789.95,788.0,471356.0,3790.76
2016-08-19,790.0,803.0,783.05,788.1,791.05,509204.0,4056.51
